task_id,run_id,flow_id,hpo_config,predictive_accuracy
16,574483,2094,"{'weka.REPTree(15)_M': '2', 'weka.REPTree(15)_V': '0.001', 'weka.REPTree(15)_N': '3', 'weka.REPTree(15)_S': '1', 'weka.REPTree(15)_L': '-1', 'weka.REPTree(15)_I': '0.0', 'weka.AdaBoostM1_REPTree(4)_P': '100', 'weka.AdaBoostM1_REPTree(4)_S': '1', 'weka.AdaBoostM1_REPTree(4)_I': '10', 'weka.AdaBoostM1_REPTree(4)_W': 'weka.classifiers.trees.REPTree'}",0.9175
16,574522,2058,"{'weka.REPTree(15)_M': '2', 'weka.REPTree(15)_V': '0.001', 'weka.REPTree(15)_N': '3', 'weka.REPTree(15)_S': '1', 'weka.REPTree(15)_L': '-1', 'weka.REPTree(15)_I': '0.0', 'weka.Bagging_REPTree(17)_P': '100', 'weka.Bagging_REPTree(17)_S': '1', 'weka.Bagging_REPTree(17)_num-slots': '1', 'weka.Bagging_REPTree(17)_I': '10', 'weka.Bagging_REPTree(17)_W': 'weka.classifiers.trees.REPTree'}",0.8735
16,574562,2269,"{'weka.J48(33)_C': '0.25', 'weka.J48(33)_M': '2', 'weka.Bagging_J48(5)_P': '100', 'weka.Bagging_J48(5)_S': '1', 'weka.Bagging_J48(5)_num-slots': '1', 'weka.Bagging_J48(5)_I': '10', 'weka.Bagging_J48(5)_W': 'weka.classifiers.trees.J48'}",0.901
16,574603,2136,"{'weka.JRip(5)_F': '3', 'weka.JRip(5)_N': '2.0', 'weka.JRip(5)_O': '2', 'weka.JRip(5)_S': '1', 'weka.Bagging_JRip(3)_P': '100', 'weka.Bagging_JRip(3)_S': '1', 'weka.Bagging_JRip(3)_num-slots': '1', 'weka.Bagging_JRip(3)_I': '10', 'weka.Bagging_JRip(3)_W': 'weka.classifiers.rules.JRip'}",0.931
16,574634,2270,"{'weka.Bagging_HyperPipes(1)_P': '100', 'weka.Bagging_HyperPipes(1)_S': '1', 'weka.Bagging_HyperPipes(1)_num-slots': '1', 'weka.Bagging_HyperPipes(1)_I': '10', 'weka.Bagging_HyperPipes(1)_W': 'weka.classifiers.misc.HyperPipes'}",0.8265
16,574677,3903,"{'weka.DecisionTable(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.DecisionTable(1)_X': '1'}",0.632
16,574721,3903,"{'weka.DecisionTable(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.DecisionTable(1)_X': '1'}",0.632
16,574761,3903,"{'weka.DecisionTable(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.DecisionTable(1)_X': '1'}",0.632
16,574803,3903,"{'weka.DecisionTable(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.DecisionTable(1)_X': '1'}",0.632
16,574844,3903,"{'weka.DecisionTable(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.DecisionTable(1)_X': '1'}",0.632
16,574885,3903,"{'weka.DecisionTable(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.DecisionTable(1)_X': '1'}",0.632
16,574926,3903,"{'weka.DecisionTable(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.DecisionTable(1)_X': '1'}",0.632
16,574965,3903,"{'weka.DecisionTable(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.DecisionTable(1)_X': '1'}",0.632
16,575006,3903,"{'weka.DecisionTable(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.DecisionTable(1)_X': '1'}",0.632
16,575046,3903,"{'weka.DecisionTable(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.DecisionTable(1)_X': '1'}",0.632
16,575084,3903,"{'weka.DecisionTable(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.DecisionTable(1)_X': '1'}",0.632
16,575124,3903,"{'weka.DecisionTable(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.DecisionTable(1)_X': '1'}",0.632
16,575163,3903,"{'weka.DecisionTable(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.DecisionTable(1)_X': '1'}",0.632
